Dest_PC,Dest_City,Dest,Response Garbsen,Response Hannover,ResponseModGarbsen,ResponseModHannover,DistanceGarbsen,DurationGarbsen,DistanceHannover,DurationHannover,Garbsen_minutes,Hannover_minutes
59069,Hamm,59069%2C%20Hamm,"{
   ""destination_addresses"" : [ ""59069 Hamm, Germany"" ],
   ""origin_addresses"" : [ ""Garbsen, Germany"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""172 km"",
                  ""value"" : 171937
               },
               ""duration"" : {
                  ""text"" : ""1 hour 47 mins"",
                  ""value"" : 6426
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
","{
   ""destination_addresses"" : [ ""59069 Hamm, Germany"" ],
   ""origin_addresses"" : [ ""Hanover, Germany"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""179 km"",
                  ""value"" : 178662
               },
               ""duration"" : {
                  ""text"" : ""1 hour 55 mins"",
                  ""value"" : 6894
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
","{'destination_addresses': ['59069 Hamm, Germany'], 'origin_addresses': ['Garbsen, Germany'], 'rows': [{'elements': [{'distance': {'text': '172 km', 'value': 171937}, 'duration': {'text': '1 hour 47 mins', 'value': 6426}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['59069 Hamm, Germany'], 'origin_addresses': ['Hanover, Germany'], 'rows': [{'elements': [{'distance': {'text': '179 km', 'value': 178662}, 'duration': {'text': '1 hour 55 mins', 'value': 6894}, 'status': 'OK'}]}], 'status': 'OK'}",172 km,1 hour 47 mins,179 km,1 hour 55 mins,107,115
37083,Göttingen,37083%2C%20Göttingen,"{
   ""destination_addresses"" : [ ""37083 G\u00f6ttingen, Germany"" ],
   ""origin_addresses"" : [ ""Garbsen, Germany"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""147 km"",
                  ""value"" : 146579
               },
               ""duration"" : {
                  ""text"" : ""1 hour 42 mins"",
                  ""value"" : 6128
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
","{
   ""destination_addresses"" : [ ""37083 G\u00f6ttingen, Germany"" ],
   ""origin_addresses"" : [ ""Hanover, Germany"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""128 km"",
                  ""value"" : 127799
               },
               ""duration"" : {
                  ""text"" : ""1 hour 38 mins"",
                  ""value"" : 5853
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
","{'destination_addresses': ['37083 Göttingen, Germany'], 'origin_addresses': ['Garbsen, Germany'], 'rows': [{'elements': [{'distance': {'text': '147 km', 'value': 146579}, 'duration': {'text': '1 hour 42 mins', 'value': 6128}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['37083 Göttingen, Germany'], 'origin_addresses': ['Hanover, Germany'], 'rows': [{'elements': [{'distance': {'text': '128 km', 'value': 127799}, 'duration': {'text': '1 hour 38 mins', 'value': 5853}, 'status': 'OK'}]}], 'status': 'OK'}",147 km,1 hour 42 mins,128 km,1 hour 38 mins,102,98
55585,Hochstätten,55585%2C%20Hochstätten,"{
   ""destination_addresses"" : [ ""55585 Hochst\u00e4tten, Germany"" ],
   ""origin_addresses"" : [ ""Garbsen, Germany"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""456 km"",
                  ""value"" : 455951
               },
               ""duration"" : {
                  ""text"" : ""4 hours 54 mins"",
                  ""value"" : 17622
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
","{
   ""destination_addresses"" : [ ""55585 Hochst\u00e4tten, Germany"" ],
   ""origin_addresses"" : [ ""Hanover, Germany"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""437 km"",
                  ""value"" : 437171
               },
               ""duration"" : {
                  ""text"" : ""4 hours 49 mins"",
                  ""value"" : 17347
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
","{'destination_addresses': ['55585 Hochstätten, Germany'], 'origin_addresses': ['Garbsen, Germany'], 'rows': [{'elements': [{'distance': {'text': '456 km', 'value': 455951}, 'duration': {'text': '4 hours 54 mins', 'value': 17622}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['55585 Hochstätten, Germany'], 'origin_addresses': ['Hanover, Germany'], 'rows': [{'elements': [{'distance': {'text': '437 km', 'value': 437171}, 'duration': {'text': '4 hours 49 mins', 'value': 17347}, 'status': 'OK'}]}], 'status': 'OK'}",456 km,4 hours 54 mins,437 km,4 hours 49 mins,294,289
57520,Schutzbach,57520%2C%20Schutzbach,"{
   ""destination_addresses"" : [ ""Schutzbach, Germany"" ],
   ""origin_addresses"" : [ ""Garbsen, Germany"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""308 km"",
                  ""value"" : 307522
               },
               ""duration"" : {
                  ""text"" : ""3 hours 42 mins"",
                  ""value"" : 13292
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
","{
   ""destination_addresses"" : [ ""Schutzbach, Germany"" ],
   ""origin_addresses"" : [ ""Hanover, Germany"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""314 km"",
                  ""value"" : 314248
               },
               ""duration"" : {
                  ""text"" : ""3 hours 49 mins"",
                  ""value"" : 13759
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
","{'destination_addresses': ['Schutzbach, Germany'], 'origin_addresses': ['Garbsen, Germany'], 'rows': [{'elements': [{'distance': {'text': '308 km', 'value': 307522}, 'duration': {'text': '3 hours 42 mins', 'value': 13292}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['Schutzbach, Germany'], 'origin_addresses': ['Hanover, Germany'], 'rows': [{'elements': [{'distance': {'text': '314 km', 'value': 314248}, 'duration': {'text': '3 hours 49 mins', 'value': 13759}, 'status': 'OK'}]}], 'status': 'OK'}",308 km,3 hours 42 mins,314 km,3 hours 49 mins,222,229
47574,Goch,47574%2C%20Goch,"{
   ""destination_addresses"" : [ ""47574 Goch, Germany"" ],
   ""origin_addresses"" : [ ""Garbsen, Germany"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""312 km"",
                  ""value"" : 312363
               },
               ""duration"" : {
                  ""text"" : ""3 hours 10 mins"",
                  ""value"" : 11412
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
","{
   ""destination_addresses"" : [ ""47574 Goch, Germany"" ],
   ""origin_addresses"" : [ ""Hanover, Germany"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""319 km"",
                  ""value"" : 319089
               },
               ""duration"" : {
                  ""text"" : ""3 hours 18 mins"",
                  ""value"" : 11880
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
","{'destination_addresses': ['47574 Goch, Germany'], 'origin_addresses': ['Garbsen, Germany'], 'rows': [{'elements': [{'distance': {'text': '312 km', 'value': 312363}, 'duration': {'text': '3 hours 10 mins', 'value': 11412}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['47574 Goch, Germany'], 'origin_addresses': ['Hanover, Germany'], 'rows': [{'elements': [{'distance': {'text': '319 km', 'value': 319089}, 'duration': {'text': '3 hours 18 mins', 'value': 11880}, 'status': 'OK'}]}], 'status': 'OK'}",312 km,3 hours 10 mins,319 km,3 hours 18 mins,190,198
46483,Wesel,46483%2C%20Wesel,"{
   ""destination_addresses"" : [ ""46483 Wesel, Germany"" ],
   ""origin_addresses"" : [ ""Garbsen, Germany"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""268 km"",
                  ""value"" : 267778
               },
               ""duration"" : {
                  ""text"" : ""2 hours 48 mins"",
                  ""value"" : 10081
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
","{
   ""destination_addresses"" : [ ""46483 Wesel, Germany"" ],
   ""origin_addresses"" : [ ""Hanover, Germany"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""275 km"",
                  ""value"" : 274503
               },
               ""duration"" : {
                  ""text"" : ""2 hours 56 mins"",
                  ""value"" : 10549
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
","{'destination_addresses': ['46483 Wesel, Germany'], 'origin_addresses': ['Garbsen, Germany'], 'rows': [{'elements': [{'distance': {'text': '268 km', 'value': 267778}, 'duration': {'text': '2 hours 48 mins', 'value': 10081}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['46483 Wesel, Germany'], 'origin_addresses': ['Hanover, Germany'], 'rows': [{'elements': [{'distance': {'text': '275 km', 'value': 274503}, 'duration': {'text': '2 hours 56 mins', 'value': 10549}, 'status': 'OK'}]}], 'status': 'OK'}",268 km,2 hours 48 mins,275 km,2 hours 56 mins,168,176
37355,Vollenborn,37355%2C%20Vollenborn,"{
   ""destination_addresses"" : [ ""Vollenborn, Germany"" ],
   ""origin_addresses"" : [ ""Garbsen, Germany"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""204 km"",
                  ""value"" : 203977
               },
               ""duration"" : {
                  ""text"" : ""2 hours 13 mins"",
                  ""value"" : 7997
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
","{
   ""destination_addresses"" : [ ""Vollenborn, Germany"" ],
   ""origin_addresses"" : [ ""Hanover, Germany"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""185 km"",
                  ""value"" : 185197
               },
               ""duration"" : {
                  ""text"" : ""2 hours 9 mins"",
                  ""value"" : 7721
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
","{'destination_addresses': ['Vollenborn, Germany'], 'origin_addresses': ['Garbsen, Germany'], 'rows': [{'elements': [{'distance': {'text': '204 km', 'value': 203977}, 'duration': {'text': '2 hours 13 mins', 'value': 7997}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['Vollenborn, Germany'], 'origin_addresses': ['Hanover, Germany'], 'rows': [{'elements': [{'distance': {'text': '185 km', 'value': 185197}, 'duration': {'text': '2 hours 9 mins', 'value': 7721}, 'status': 'OK'}]}], 'status': 'OK'}",204 km,2 hours 13 mins,185 km,2 hours 9 mins,133,129
56858,Liesenich,56858%2C%20Liesenich,"{
   ""destination_addresses"" : [ ""Liesenich, Germany"" ],
   ""origin_addresses"" : [ ""Garbsen, Germany"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""421 km"",
                  ""value"" : 421197
               },
               ""duration"" : {
                  ""text"" : ""4 hours 40 mins"",
                  ""value"" : 16820
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
","{
   ""destination_addresses"" : [ ""Liesenich, Germany"" ],
   ""origin_addresses"" : [ ""Hanover, Germany"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""428 km"",
                  ""value"" : 427922
               },
               ""duration"" : {
                  ""text"" : ""4 hours 48 mins"",
                  ""value"" : 17288
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
","{'destination_addresses': ['Liesenich, Germany'], 'origin_addresses': ['Garbsen, Germany'], 'rows': [{'elements': [{'distance': {'text': '421 km', 'value': 421197}, 'duration': {'text': '4 hours 40 mins', 'value': 16820}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['Liesenich, Germany'], 'origin_addresses': ['Hanover, Germany'], 'rows': [{'elements': [{'distance': {'text': '428 km', 'value': 427922}, 'duration': {'text': '4 hours 48 mins', 'value': 17288}, 'status': 'OK'}]}], 'status': 'OK'}",421 km,4 hours 40 mins,428 km,4 hours 48 mins,280,288
37318,Birkenfelde,37318%2C%20Birkenfelde,"{
   ""destination_addresses"" : [ ""37318 Birkenfelde, Germany"" ],
   ""origin_addresses"" : [ ""Garbsen, Germany"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""172 km"",
                  ""value"" : 171580
               },
               ""duration"" : {
                  ""text"" : ""1 hour 54 mins"",
                  ""value"" : 6820
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
","{
   ""destination_addresses"" : [ ""37318 Birkenfelde, Germany"" ],
   ""origin_addresses"" : [ ""Hanover, Germany"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""153 km"",
                  ""value"" : 152800
               },
               ""duration"" : {
                  ""text"" : ""1 hour 49 mins"",
                  ""value"" : 6545
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
","{'destination_addresses': ['37318 Birkenfelde, Germany'], 'origin_addresses': ['Garbsen, Germany'], 'rows': [{'elements': [{'distance': {'text': '172 km', 'value': 171580}, 'duration': {'text': '1 hour 54 mins', 'value': 6820}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['37318 Birkenfelde, Germany'], 'origin_addresses': ['Hanover, Germany'], 'rows': [{'elements': [{'distance': {'text': '153 km', 'value': 152800}, 'duration': {'text': '1 hour 49 mins', 'value': 6545}, 'status': 'OK'}]}], 'status': 'OK'}",172 km,1 hour 54 mins,153 km,1 hour 49 mins,114,109
56729,Boos,56729%2C%20Boos,"{
   ""destination_addresses"" : [ ""56729 Boos, Germany"" ],
   ""origin_addresses"" : [ ""Garbsen, Germany"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""384 km"",
                  ""value"" : 384161
               },
               ""duration"" : {
                  ""text"" : ""4 hours 8 mins"",
                  ""value"" : 14881
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
","{
   ""destination_addresses"" : [ ""56729 Boos, Germany"" ],
   ""origin_addresses"" : [ ""Hanover, Germany"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""391 km"",
                  ""value"" : 390886
               },
               ""duration"" : {
                  ""text"" : ""4 hours 16 mins"",
                  ""value"" : 15349
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
","{'destination_addresses': ['56729 Boos, Germany'], 'origin_addresses': ['Garbsen, Germany'], 'rows': [{'elements': [{'distance': {'text': '384 km', 'value': 384161}, 'duration': {'text': '4 hours 8 mins', 'value': 14881}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['56729 Boos, Germany'], 'origin_addresses': ['Hanover, Germany'], 'rows': [{'elements': [{'distance': {'text': '391 km', 'value': 390886}, 'duration': {'text': '4 hours 16 mins', 'value': 15349}, 'status': 'OK'}]}], 'status': 'OK'}",384 km,4 hours 8 mins,391 km,4 hours 16 mins,248,256
