Dest_PC,Dest_City,Branch_PC,Branch_City,Branch,Dest,Response,ResponseMod,Distance,Duration
59069,Hamm,36214,Nentershausen,36214%2C%20Nentershausen,59069%2C%20Hamm,"{
   ""destination_addresses"" : [ ""59069 Hamm, Germany"" ],
   ""origin_addresses"" : [ ""36214 Nentershausen, Germany"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""204 km"",
                  ""value"" : 204268
               },
               ""duration"" : {
                  ""text"" : ""2 hours 24 mins"",
                  ""value"" : 8662
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
","{'destination_addresses': ['59069 Hamm, Germany'], 'origin_addresses': ['36214 Nentershausen, Germany'], 'rows': [{'elements': [{'distance': {'text': '204 km', 'value': 204268}, 'duration': {'text': '2 hours 24 mins', 'value': 8662}, 'status': 'OK'}]}], 'status': 'OK'}",204 km,2 hours 24 mins
37083,Göttingen,36214,Nentershausen,36214%2C%20Nentershausen,37083%2C%20Göttingen,"{
   ""destination_addresses"" : [ ""37083 G\u00f6ttingen, Germany"" ],
   ""origin_addresses"" : [ ""36214 Nentershausen, Germany"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""73.1 km"",
                  ""value"" : 73134
               },
               ""duration"" : {
                  ""text"" : ""1 hour 9 mins"",
                  ""value"" : 4141
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
","{'destination_addresses': ['37083 Göttingen, Germany'], 'origin_addresses': ['36214 Nentershausen, Germany'], 'rows': [{'elements': [{'distance': {'text': '73.1 km', 'value': 73134}, 'duration': {'text': '1 hour 9 mins', 'value': 4141}, 'status': 'OK'}]}], 'status': 'OK'}",73.1 km,1 hour 9 mins
55585,Hochstätten,36214,Nentershausen,36214%2C%20Nentershausen,55585%2C%20Hochstätten,"{
   ""destination_addresses"" : [ ""55585 Hochst\u00e4tten, Germany"" ],
   ""origin_addresses"" : [ ""36214 Nentershausen, Germany"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""263 km"",
                  ""value"" : 263174
               },
               ""duration"" : {
                  ""text"" : ""2 hours 54 mins"",
                  ""value"" : 10466
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
","{'destination_addresses': ['55585 Hochstätten, Germany'], 'origin_addresses': ['36214 Nentershausen, Germany'], 'rows': [{'elements': [{'distance': {'text': '263 km', 'value': 263174}, 'duration': {'text': '2 hours 54 mins', 'value': 10466}, 'status': 'OK'}]}], 'status': 'OK'}",263 km,2 hours 54 mins
57520,Schutzbach,36214,Nentershausen,36214%2C%20Nentershausen,57520%2C%20Schutzbach,"{
   ""destination_addresses"" : [ ""Schutzbach, Germany"" ],
   ""origin_addresses"" : [ ""36214 Nentershausen, Germany"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""200 km"",
                  ""value"" : 199670
               },
               ""duration"" : {
                  ""text"" : ""2 hours 26 mins"",
                  ""value"" : 8743
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
","{'destination_addresses': ['Schutzbach, Germany'], 'origin_addresses': ['36214 Nentershausen, Germany'], 'rows': [{'elements': [{'distance': {'text': '200 km', 'value': 199670}, 'duration': {'text': '2 hours 26 mins', 'value': 8743}, 'status': 'OK'}]}], 'status': 'OK'}",200 km,2 hours 26 mins
47574,Goch,36214,Nentershausen,36214%2C%20Nentershausen,47574%2C%20Goch,"{
   ""destination_addresses"" : [ ""47574 Goch, Germany"" ],
   ""origin_addresses"" : [ ""36214 Nentershausen, Germany"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""338 km"",
                  ""value"" : 337696
               },
               ""duration"" : {
                  ""text"" : ""3 hours 50 mins"",
                  ""value"" : 13783
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
","{'destination_addresses': ['47574 Goch, Germany'], 'origin_addresses': ['36214 Nentershausen, Germany'], 'rows': [{'elements': [{'distance': {'text': '338 km', 'value': 337696}, 'duration': {'text': '3 hours 50 mins', 'value': 13783}, 'status': 'OK'}]}], 'status': 'OK'}",338 km,3 hours 50 mins
46483,Wesel,36214,Nentershausen,36214%2C%20Nentershausen,46483%2C%20Wesel,"{
   ""destination_addresses"" : [ ""46483 Wesel, Germany"" ],
   ""origin_addresses"" : [ ""36214 Nentershausen, Germany"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""302 km"",
                  ""value"" : 301512
               },
               ""duration"" : {
                  ""text"" : ""3 hours 27 mins"",
                  ""value"" : 12443
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
","{'destination_addresses': ['46483 Wesel, Germany'], 'origin_addresses': ['36214 Nentershausen, Germany'], 'rows': [{'elements': [{'distance': {'text': '302 km', 'value': 301512}, 'duration': {'text': '3 hours 27 mins', 'value': 12443}, 'status': 'OK'}]}], 'status': 'OK'}",302 km,3 hours 27 mins
56379,Zechenhaus,36214,Nentershausen,36214%2C%20Nentershausen,56379%2C%20Zechenhaus,"{
   ""destination_addresses"" : [ ""Sauk Rapids, MN 56379, USA"" ],
   ""origin_addresses"" : [ ""36214 Nentershausen, Germany"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""status"" : ""ZERO_RESULTS""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
","{'destination_addresses': ['Sauk Rapids, MN 56379, USA'], 'origin_addresses': ['36214 Nentershausen, Germany'], 'rows': [{'elements': [{'status': 'ZERO_RESULTS'}]}], 'status': 'OK'}",NOT_AVAILABLE,NOT_AVAILABLE
37355,Vollenborn,36214,Nentershausen,36214%2C%20Nentershausen,37355%2C%20Vollenborn,"{
   ""destination_addresses"" : [ ""Vollenborn, Germany"" ],
   ""origin_addresses"" : [ ""36214 Nentershausen, Germany"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""82.4 km"",
                  ""value"" : 82388
               },
               ""duration"" : {
                  ""text"" : ""1 hour 23 mins"",
                  ""value"" : 4964
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
","{'destination_addresses': ['Vollenborn, Germany'], 'origin_addresses': ['36214 Nentershausen, Germany'], 'rows': [{'elements': [{'distance': {'text': '82.4 km', 'value': 82388}, 'duration': {'text': '1 hour 23 mins', 'value': 4964}, 'status': 'OK'}]}], 'status': 'OK'}",82.4 km,1 hour 23 mins
56858,Liesenich,36214,Nentershausen,36214%2C%20Nentershausen,56858%2C%20Liesenich,"{
   ""destination_addresses"" : [ ""Liesenich, Germany"" ],
   ""origin_addresses"" : [ ""36214 Nentershausen, Germany"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""303 km"",
                  ""value"" : 303272
               },
               ""duration"" : {
                  ""text"" : ""3 hours 23 mins"",
                  ""value"" : 12193
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
","{'destination_addresses': ['Liesenich, Germany'], 'origin_addresses': ['36214 Nentershausen, Germany'], 'rows': [{'elements': [{'distance': {'text': '303 km', 'value': 303272}, 'duration': {'text': '3 hours 23 mins', 'value': 12193}, 'status': 'OK'}]}], 'status': 'OK'}",303 km,3 hours 23 mins
37318,Birkenfelde,36214,Nentershausen,36214%2C%20Nentershausen,37318%2C%20Birkenfelde,"{
   ""destination_addresses"" : [ ""37318 Birkenfelde, Germany"" ],
   ""origin_addresses"" : [ ""36214 Nentershausen, Germany"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""66.5 km"",
                  ""value"" : 66456
               },
               ""duration"" : {
                  ""text"" : ""1 hour 3 mins"",
                  ""value"" : 3758
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
","{'destination_addresses': ['37318 Birkenfelde, Germany'], 'origin_addresses': ['36214 Nentershausen, Germany'], 'rows': [{'elements': [{'distance': {'text': '66.5 km', 'value': 66456}, 'duration': {'text': '1 hour 3 mins', 'value': 3758}, 'status': 'OK'}]}], 'status': 'OK'}",66.5 km,1 hour 3 mins
56729,Boos,36214,Nentershausen,36214%2C%20Nentershausen,56729%2C%20Boos,"{
   ""destination_addresses"" : [ ""56729 Boos, Germany"" ],
   ""origin_addresses"" : [ ""36214 Nentershausen, Germany"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""277 km"",
                  ""value"" : 276766
               },
               ""duration"" : {
                  ""text"" : ""3 hours 8 mins"",
                  ""value"" : 11292
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
","{'destination_addresses': ['56729 Boos, Germany'], 'origin_addresses': ['36214 Nentershausen, Germany'], 'rows': [{'elements': [{'distance': {'text': '277 km', 'value': 276766}, 'duration': {'text': '3 hours 8 mins', 'value': 11292}, 'status': 'OK'}]}], 'status': 'OK'}",277 km,3 hours 8 mins
