BusinessTripId,StartDate,EndDate,EmployeeId,PostalCode_x,City_x,OvernightStays,HotelCosts,TravelCosts,Currency_x,BranchId,Position,HiredOn,Salary,Currency_y,StrategicRegionId,City_y,PostalCode_y,Latitude,Longitude,OfficeSpaces,Dest_PC,Dest_City,Dest,Response Garbsen,Response Hannover,ResponseModGarbsen,ResponseModHannover,DistanceGarbsen,DurationGarbsen,DistanceHannover,DurationHannover,Garbsen_minutes,Hannover_minutes,UHC Garbsen,UHC Hannover
BT114645,2000-05-23,2000-05-29,E107601,59069,Hamm,6,1022.68,24.47,EUR,B100007,Consultant,1995-11-11,136507.4,EUR,GER100003,Nentershausen,36214,51.01371,9.9364101,21,59069,Hamm,59069%2C%20Hamm,"{
   ""destination_addresses"" : [ ""59069 Hamm, Germany"" ],
   ""origin_addresses"" : [ ""Garbsen, Germany"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""172 km"",
                  ""value"" : 171937
               },
               ""duration"" : {
                  ""text"" : ""1 hour 47 mins"",
                  ""value"" : 6426
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
","{
   ""destination_addresses"" : [ ""59069 Hamm, Germany"" ],
   ""origin_addresses"" : [ ""Hanover, Germany"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""179 km"",
                  ""value"" : 178662
               },
               ""duration"" : {
                  ""text"" : ""1 hour 55 mins"",
                  ""value"" : 6894
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
","{'destination_addresses': ['59069 Hamm, Germany'], 'origin_addresses': ['Garbsen, Germany'], 'rows': [{'elements': [{'distance': {'text': '172 km', 'value': 171937}, 'duration': {'text': '1 hour 47 mins', 'value': 6426}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['59069 Hamm, Germany'], 'origin_addresses': ['Hanover, Germany'], 'rows': [{'elements': [{'distance': {'text': '179 km', 'value': 178662}, 'duration': {'text': '1 hour 55 mins', 'value': 6894}, 'status': 'OK'}]}], 'status': 'OK'}",172 km,1 hour 47 mins,179 km,1 hour 55 mins,107,115,1022.68,1022.68
BT114247,2000-04-11,2000-04-16,E107623,59069,Hamm,5,887.69,30.85,EUR,B100008,Consultant,1996-05-20,136507.4,EUR,GER100003,Haldensleben,39340,52.2903751,11.4058738,22,59069,Hamm,59069%2C%20Hamm,"{
   ""destination_addresses"" : [ ""59069 Hamm, Germany"" ],
   ""origin_addresses"" : [ ""Garbsen, Germany"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""172 km"",
                  ""value"" : 171937
               },
               ""duration"" : {
                  ""text"" : ""1 hour 47 mins"",
                  ""value"" : 6426
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
","{
   ""destination_addresses"" : [ ""59069 Hamm, Germany"" ],
   ""origin_addresses"" : [ ""Hanover, Germany"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""179 km"",
                  ""value"" : 178662
               },
               ""duration"" : {
                  ""text"" : ""1 hour 55 mins"",
                  ""value"" : 6894
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
","{'destination_addresses': ['59069 Hamm, Germany'], 'origin_addresses': ['Garbsen, Germany'], 'rows': [{'elements': [{'distance': {'text': '172 km', 'value': 171937}, 'duration': {'text': '1 hour 47 mins', 'value': 6426}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['59069 Hamm, Germany'], 'origin_addresses': ['Hanover, Germany'], 'rows': [{'elements': [{'distance': {'text': '179 km', 'value': 178662}, 'duration': {'text': '1 hour 55 mins', 'value': 6894}, 'status': 'OK'}]}], 'status': 'OK'}",172 km,1 hour 47 mins,179 km,1 hour 55 mins,107,115,887.69,887.69
BT133842,2007-01-15,2007-01-19,E107763,59069,Hamm,4,670.39,28.29,EUR,B100008,Consultant,1999-10-24,121491.1,EUR,GER100003,Haldensleben,39340,52.2903751,11.4058738,22,59069,Hamm,59069%2C%20Hamm,"{
   ""destination_addresses"" : [ ""59069 Hamm, Germany"" ],
   ""origin_addresses"" : [ ""Garbsen, Germany"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""172 km"",
                  ""value"" : 171937
               },
               ""duration"" : {
                  ""text"" : ""1 hour 47 mins"",
                  ""value"" : 6426
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
","{
   ""destination_addresses"" : [ ""59069 Hamm, Germany"" ],
   ""origin_addresses"" : [ ""Hanover, Germany"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""179 km"",
                  ""value"" : 178662
               },
               ""duration"" : {
                  ""text"" : ""1 hour 55 mins"",
                  ""value"" : 6894
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
","{'destination_addresses': ['59069 Hamm, Germany'], 'origin_addresses': ['Garbsen, Germany'], 'rows': [{'elements': [{'distance': {'text': '172 km', 'value': 171937}, 'duration': {'text': '1 hour 47 mins', 'value': 6426}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['59069 Hamm, Germany'], 'origin_addresses': ['Hanover, Germany'], 'rows': [{'elements': [{'distance': {'text': '179 km', 'value': 178662}, 'duration': {'text': '1 hour 55 mins', 'value': 6894}, 'status': 'OK'}]}], 'status': 'OK'}",172 km,1 hour 47 mins,179 km,1 hour 55 mins,107,115,670.39,670.39
BT114659,2000-05-25,2000-05-28,E107601,37083,Göttingen,3,586.94,26.29,EUR,B100007,Consultant,1995-11-11,136507.4,EUR,GER100003,Nentershausen,36214,51.01371,9.9364101,21,37083,Göttingen,37083%2C%20Göttingen,"{
   ""destination_addresses"" : [ ""37083 G\u00f6ttingen, Germany"" ],
   ""origin_addresses"" : [ ""Garbsen, Germany"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""147 km"",
                  ""value"" : 146579
               },
               ""duration"" : {
                  ""text"" : ""1 hour 42 mins"",
                  ""value"" : 6128
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
","{
   ""destination_addresses"" : [ ""37083 G\u00f6ttingen, Germany"" ],
   ""origin_addresses"" : [ ""Hanover, Germany"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""128 km"",
                  ""value"" : 127799
               },
               ""duration"" : {
                  ""text"" : ""1 hour 38 mins"",
                  ""value"" : 5853
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
","{'destination_addresses': ['37083 Göttingen, Germany'], 'origin_addresses': ['Garbsen, Germany'], 'rows': [{'elements': [{'distance': {'text': '147 km', 'value': 146579}, 'duration': {'text': '1 hour 42 mins', 'value': 6128}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['37083 Göttingen, Germany'], 'origin_addresses': ['Hanover, Germany'], 'rows': [{'elements': [{'distance': {'text': '128 km', 'value': 127799}, 'duration': {'text': '1 hour 38 mins', 'value': 5853}, 'status': 'OK'}]}], 'status': 'OK'}",147 km,1 hour 42 mins,128 km,1 hour 38 mins,102,98,586.94,586.94
BT117342,2001-05-06,2001-05-08,E107763,37083,Göttingen,2,315.23,26.29,EUR,B100008,Consultant,1999-10-24,121491.1,EUR,GER100003,Haldensleben,39340,52.2903751,11.4058738,22,37083,Göttingen,37083%2C%20Göttingen,"{
   ""destination_addresses"" : [ ""37083 G\u00f6ttingen, Germany"" ],
   ""origin_addresses"" : [ ""Garbsen, Germany"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""147 km"",
                  ""value"" : 146579
               },
               ""duration"" : {
                  ""text"" : ""1 hour 42 mins"",
                  ""value"" : 6128
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
","{
   ""destination_addresses"" : [ ""37083 G\u00f6ttingen, Germany"" ],
   ""origin_addresses"" : [ ""Hanover, Germany"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""128 km"",
                  ""value"" : 127799
               },
               ""duration"" : {
                  ""text"" : ""1 hour 38 mins"",
                  ""value"" : 5853
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
","{'destination_addresses': ['37083 Göttingen, Germany'], 'origin_addresses': ['Garbsen, Germany'], 'rows': [{'elements': [{'distance': {'text': '147 km', 'value': 146579}, 'duration': {'text': '1 hour 42 mins', 'value': 6128}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['37083 Göttingen, Germany'], 'origin_addresses': ['Hanover, Germany'], 'rows': [{'elements': [{'distance': {'text': '128 km', 'value': 127799}, 'duration': {'text': '1 hour 38 mins', 'value': 5853}, 'status': 'OK'}]}], 'status': 'OK'}",147 km,1 hour 42 mins,128 km,1 hour 38 mins,102,98,315.23,315.23
BT115142,2000-08-04,2000-08-06,E107601,55585,Hochstätten,2,323.33,32.41,EUR,B100007,Consultant,1995-11-11,136507.4,EUR,GER100003,Nentershausen,36214,51.01371,9.9364101,21,55585,Hochstätten,55585%2C%20Hochstätten,"{
   ""destination_addresses"" : [ ""55585 Hochst\u00e4tten, Germany"" ],
   ""origin_addresses"" : [ ""Garbsen, Germany"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""456 km"",
                  ""value"" : 455951
               },
               ""duration"" : {
                  ""text"" : ""4 hours 54 mins"",
                  ""value"" : 17622
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
","{
   ""destination_addresses"" : [ ""55585 Hochst\u00e4tten, Germany"" ],
   ""origin_addresses"" : [ ""Hanover, Germany"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""437 km"",
                  ""value"" : 437171
               },
               ""duration"" : {
                  ""text"" : ""4 hours 49 mins"",
                  ""value"" : 17347
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
","{'destination_addresses': ['55585 Hochstätten, Germany'], 'origin_addresses': ['Garbsen, Germany'], 'rows': [{'elements': [{'distance': {'text': '456 km', 'value': 455951}, 'duration': {'text': '4 hours 54 mins', 'value': 17622}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['55585 Hochstätten, Germany'], 'origin_addresses': ['Hanover, Germany'], 'rows': [{'elements': [{'distance': {'text': '437 km', 'value': 437171}, 'duration': {'text': '4 hours 49 mins', 'value': 17347}, 'status': 'OK'}]}], 'status': 'OK'}",456 km,4 hours 54 mins,437 km,4 hours 49 mins,294,289,323.33,323.33
BT115762,2000-10-24,2000-10-25,E107601,57520,Schutzbach,1,153.89,31.04,EUR,B100007,Consultant,1995-11-11,136507.4,EUR,GER100003,Nentershausen,36214,51.01371,9.9364101,21,57520,Schutzbach,57520%2C%20Schutzbach,"{
   ""destination_addresses"" : [ ""Schutzbach, Germany"" ],
   ""origin_addresses"" : [ ""Garbsen, Germany"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""308 km"",
                  ""value"" : 307522
               },
               ""duration"" : {
                  ""text"" : ""3 hours 42 mins"",
                  ""value"" : 13292
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
","{
   ""destination_addresses"" : [ ""Schutzbach, Germany"" ],
   ""origin_addresses"" : [ ""Hanover, Germany"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""314 km"",
                  ""value"" : 314248
               },
               ""duration"" : {
                  ""text"" : ""3 hours 49 mins"",
                  ""value"" : 13759
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
","{'destination_addresses': ['Schutzbach, Germany'], 'origin_addresses': ['Garbsen, Germany'], 'rows': [{'elements': [{'distance': {'text': '308 km', 'value': 307522}, 'duration': {'text': '3 hours 42 mins', 'value': 13292}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['Schutzbach, Germany'], 'origin_addresses': ['Hanover, Germany'], 'rows': [{'elements': [{'distance': {'text': '314 km', 'value': 314248}, 'duration': {'text': '3 hours 49 mins', 'value': 13759}, 'status': 'OK'}]}], 'status': 'OK'}",308 km,3 hours 42 mins,314 km,3 hours 49 mins,222,229,153.89,153.89
BT155617,2014-04-16,2014-04-22,E108387,57520,Schutzbach,6,974.14,30.23,EUR,B100007,Consultant,2011-03-13,85646.43,EUR,GER100003,Nentershausen,36214,51.01371,9.9364101,21,57520,Schutzbach,57520%2C%20Schutzbach,"{
   ""destination_addresses"" : [ ""Schutzbach, Germany"" ],
   ""origin_addresses"" : [ ""Garbsen, Germany"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""308 km"",
                  ""value"" : 307522
               },
               ""duration"" : {
                  ""text"" : ""3 hours 42 mins"",
                  ""value"" : 13292
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
","{
   ""destination_addresses"" : [ ""Schutzbach, Germany"" ],
   ""origin_addresses"" : [ ""Hanover, Germany"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""314 km"",
                  ""value"" : 314248
               },
               ""duration"" : {
                  ""text"" : ""3 hours 49 mins"",
                  ""value"" : 13759
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
","{'destination_addresses': ['Schutzbach, Germany'], 'origin_addresses': ['Garbsen, Germany'], 'rows': [{'elements': [{'distance': {'text': '308 km', 'value': 307522}, 'duration': {'text': '3 hours 42 mins', 'value': 13292}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['Schutzbach, Germany'], 'origin_addresses': ['Hanover, Germany'], 'rows': [{'elements': [{'distance': {'text': '314 km', 'value': 314248}, 'duration': {'text': '3 hours 49 mins', 'value': 13759}, 'status': 'OK'}]}], 'status': 'OK'}",308 km,3 hours 42 mins,314 km,3 hours 49 mins,222,229,974.14,974.14
BT117423,2001-05-18,2001-05-27,E107601,47574,Goch,9,1722.3,30.03,EUR,B100007,Consultant,1995-11-11,136507.4,EUR,GER100003,Nentershausen,36214,51.01371,9.9364101,21,47574,Goch,47574%2C%20Goch,"{
   ""destination_addresses"" : [ ""47574 Goch, Germany"" ],
   ""origin_addresses"" : [ ""Garbsen, Germany"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""312 km"",
                  ""value"" : 312363
               },
               ""duration"" : {
                  ""text"" : ""3 hours 10 mins"",
                  ""value"" : 11412
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
","{
   ""destination_addresses"" : [ ""47574 Goch, Germany"" ],
   ""origin_addresses"" : [ ""Hanover, Germany"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""319 km"",
                  ""value"" : 319089
               },
               ""duration"" : {
                  ""text"" : ""3 hours 18 mins"",
                  ""value"" : 11880
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
","{'destination_addresses': ['47574 Goch, Germany'], 'origin_addresses': ['Garbsen, Germany'], 'rows': [{'elements': [{'distance': {'text': '312 km', 'value': 312363}, 'duration': {'text': '3 hours 10 mins', 'value': 11412}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['47574 Goch, Germany'], 'origin_addresses': ['Hanover, Germany'], 'rows': [{'elements': [{'distance': {'text': '319 km', 'value': 319089}, 'duration': {'text': '3 hours 18 mins', 'value': 11880}, 'status': 'OK'}]}], 'status': 'OK'}",312 km,3 hours 10 mins,319 km,3 hours 18 mins,190,198,1722.3,1722.3
BT119262,2002-01-09,2002-01-13,E107601,46483,Wesel,4,788.0,29.43,EUR,B100007,Consultant,1995-11-11,136507.4,EUR,GER100003,Nentershausen,36214,51.01371,9.9364101,21,46483,Wesel,46483%2C%20Wesel,"{
   ""destination_addresses"" : [ ""46483 Wesel, Germany"" ],
   ""origin_addresses"" : [ ""Garbsen, Germany"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""268 km"",
                  ""value"" : 267778
               },
               ""duration"" : {
                  ""text"" : ""2 hours 48 mins"",
                  ""value"" : 10081
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
","{
   ""destination_addresses"" : [ ""46483 Wesel, Germany"" ],
   ""origin_addresses"" : [ ""Hanover, Germany"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""275 km"",
                  ""value"" : 274503
               },
               ""duration"" : {
                  ""text"" : ""2 hours 56 mins"",
                  ""value"" : 10549
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
","{'destination_addresses': ['46483 Wesel, Germany'], 'origin_addresses': ['Garbsen, Germany'], 'rows': [{'elements': [{'distance': {'text': '268 km', 'value': 267778}, 'duration': {'text': '2 hours 48 mins', 'value': 10081}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['46483 Wesel, Germany'], 'origin_addresses': ['Hanover, Germany'], 'rows': [{'elements': [{'distance': {'text': '275 km', 'value': 274503}, 'duration': {'text': '2 hours 56 mins', 'value': 10549}, 'status': 'OK'}]}], 'status': 'OK'}",268 km,2 hours 48 mins,275 km,2 hours 56 mins,168,176,788.0,788.0
